회사명,종목코드,폐지일자,폐지사유,label
삼성수산,052560,2009-07-01,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",1
하이럭스,079340,2009-06-24,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",1
헤쎄나,036270,2009-06-17,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",1
지디코프,036610,2009-06-17,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",1
코아정보,039990,2009-06-10,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",1
트리니티,053070,2009-06-03,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",1
지이엔에프,038920,2009-05-29,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",1
사라콤,040020,2009-05-27,자본전액잠식,1
야호,059720,2009-05-27,감사의견거절(감사범위제한),1
자강,036790,2009-05-15,감사의견거절(계속기업 존속 불확실성),1
블루스톤,033720,2009-05-15,감사의견거절(계속기업으로서의 존속능력에 대한 불확실성),1
포넷,048270,2009-05-04,자본전액잠식,1
코스모스피엘씨,053170,2009-04-30,자본전액잠식,1
IDH,026230,2009-04-29,감사범위 제한에 따른 감사의견 거절,1
나노하이텍,071360,2009-04-29,감사의견거절(감사범위제한),1
IC코퍼레이션,080570,2009-04-29,감사의견거절(감사범위제한),1
팬텀엔터그룹,025460,2009-04-29,감사범위 제한에 따른 감사의견 거절,1
쿨투,056020,2009-04-29,감사의견거절(감사범위제한),1
엑스씨이,081500,2009-04-29,감사의견거절(감사범위제한),1
케이이엔지,077960,2009-04-29,감사의견거절(감사범위제한),1
3SOFT,036360,2009-04-29,감사의견거절(감사범위제한),1
뉴켐진스템셀,036280,2009-04-24,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",1
희훈디앤지,019640,2009-04-23,자본전액잠식,1
트라이콤,038410,2009-04-23,법정제출기한까지 사업보고서를 제출하지 아니한 후 법정제출기한의 다음날부터 10일 이내에 사업보고서 미제출,1
모빌링크,041310,2009-04-23,자본전액잠식,1
KNS홀딩스,036760,2009-04-23,"감사의견거절(감사범위제한), 법정제출기한까지 사업보고서를 제출하지 아니한 후 법정제출기한의 다음날부터 10일 이내에 사업보고서 미제출",1
PW제네틱스,065910,2009-04-18,감사의견거절(감사범위제한),1
미디어코프,053890,2009-04-11,자본전액잠식,1
디에스피,016040,2009-04-11,자본전액잠식,1
산양전기,079870,2009-04-11,자본전액잠식,1
