n_shareholder_change,n_capital_increase,n_cb,n_collateral,종목코드,회사명,label
0,0,5,0,282880,코윈테크,0
0,0,0,0,377330,이지트로닉스,0
0,0,4,0,256940,킵스파마,0
0,11,1,0,010170,대한광통신,0
0,0,0,0,060480,국일신동,0
0,0,0,0,121890,에스디시스템,0
0,0,0,0,303810,동국생명과학,0
0,0,0,0,466100,클로봇,0
0,0,1,0,267790,배럴,0
0,0,1,0,293780,압타바이오,0
0,0,0,0,432430,와이랩,0
2,0,0,0,104200,NHN벅스,0
1,0,1,1,234300,에스트래픽,0
0,0,0,0,036010,아비코전자,0
2,16,18,0,377030,비트맥스,0
0,0,0,0,076080,웰크론한텍,0
4,9,67,2,060230,제이케이시냅스,0
0,5,0,0,424870,이뮨온시아,0
0,0,0,0,212710,아이에스티이,0
0,0,0,0,460930,현대힘스,0
1,3,1,0,397030,에이프릴바이오,0
0,0,0,0,099750,이지케어텍,0
0,0,0,0,065530,와이어블,0
0,0,0,0,065130,탑엔지니어링,0
0,0,0,0,015710,코콤,0
0,0,1,0,456070,이엔셀,0
0,0,7,0,093640,케이알엠,0
0,0,0,0,417790,트루엔,0
0,0,0,0,258610,케일럼,0
0,0,2,0,058820,CMG제약,0
1,2,0,0,900260,로스웰,0
3,10,4,2,298060,풍전약품,0
0,0,1,0,298830,슈어소프트테크,0
0,0,0,0,317830,에스피시스템스,0
0,2,3,0,365340,성일하이텍,0
0,0,0,0,035200,프럼파스트,0
0,0,9,0,277880,티에스아이,0
0,0,0,0,460870,에스엠씨지,0
0,0,0,0,067990,도이치모터스,0
0,0,1,0,462510,라메디텍,0
0,0,1,0,124500,아이티센글로벌,0
0,0,0,0,130740,티피씨글로벌,0
0,0,1,0,300080,플리토,0
0,1,0,0,294630,서남,0
0,0,0,0,376290,씨유테크,0
1,0,2,0,220260,켐트로스,0
0,0,0,0,031330,에스에이엠티,0
0,2,0,0,044340,위닉스,0
0,0,0,0,134060,이퓨쳐,0
0,0,0,0,452300,캡스톤파트너스,0
0,0,0,0,073540,에프알텍,0
2,0,8,2,067630,HLB생명과학,0
0,1,1,0,083640,인콘,0
0,0,0,0,194480,데브시스터즈,0
0,0,0,0,000250,삼천당제약,0
1,0,7,0,228670,레이,0
0,0,0,0,046940,우원개발,0
0,0,0,0,950190,고스트스튜디오,0
0,0,0,0,023760,한국캐피탈,0
0,0,0,0,025880,케이씨피드,0
2,7,4,2,203400,에이비온,0
0,2,1,0,019660,글로본,0
0,0,0,0,352090,스톰테크,0
2,0,0,0,277810,레인보우로보틱스,0
1,0,1,0,091580,상신이디피,0
0,0,0,0,060150,인선이엔티,0
1,0,0,0,038010,제일테크노스,0
1,1,1,0,196300,HLB펩,0
0,0,0,0,035610,솔본,0
0,0,0,0,100660,서암기계공업,0
0,3,7,0,314130,지놈앤컴퍼니,0
0,0,0,0,215000,골프존,0
3,0,1,2,335870,윙스풋,0
0,0,0,0,192440,슈피겐코리아,0
0,0,0,0,014940,오리엔탈정공,0
0,2,0,0,050090,비케이홀딩스,0
0,0,0,0,430690,한싹,0
0,0,0,0,200670,휴메딕스,0
0,0,0,0,079960,동양이엔피,0
0,0,0,0,362990,드림인사이트,0
0,0,0,0,093520,매커스,0
3,0,0,1,366030,나인앤컴퍼니,0
4,12,14,2,127120,제이에스링크,0
0,3,0,0,388610,지에프씨생명과학,0
2,1,2,0,352480,씨앤씨인터내셔널,0
0,0,0,0,056190,SFA,0
0,0,0,0,293580,나우IB,0
0,1,3,0,085910,네오티스,0
0,0,0,0,225430,케이엠제약,0
0,0,1,0,254490,미래반도체,0
0,0,3,0,071850,캐스텍코리아,0
0,2,2,0,096690,에이루트,0
0,0,0,0,023900,풍국주정,0
0,1,2,0,086040,바이오톡스텍,0
0,0,1,0,209640,와이제이링크,0
